ID,Dept,Number,Call,Credits,Taken,Undergrads,Name,Department,Culpa,,
COMSW4261,COMS,4261,23800,3,97,40,Intro to Cryptography,Computer Science,2970,,
COMSW4735,COMS,4735,89697,3,91,28,Visual Interfaces to Computers,Computer Science,,,
CSEEW4119,COMS,4119,77045,3,788,150,Computer Networks,Computer Science,4902,,
COMSE6156,COMS,6156,63009,3,46,8,Topics In Software Engineering,Computer Science,,,
IEORE4412,IEOR,4412,61396,3,153,25,Quality Control and Management,Industrial Eng/Operations Res.,,,
APPHE4301,APAM,4301,71999,3,29,8,Intro to Plasma Physics,Applied Physics/Math,,,
BIOLG4305,,,72799,3,11,2,Seminar In Biotechnology,Biology,3284,,
BIOLG4260,,,63298,3,4,1,Proteomics Laboratory,Biology,,,
CHENE4400,CHEN,4400,13347,3,86,5,Chemical Process Development,Chemical Engineering,,,
CIENE4131,CEEM,4131,67599,3,321,37,Prin of Constructn Techniques,Civil Engineering,,,
ENMEE4202,CEEM,4202,21302,3,44,5,Advanced Mechanics,Civil Engineering,,,
CIENE4243,CEEM,4243,24247,3,99,4,Foundation Engineering,Civil Engineering,,,
ENMEE4332,CEEM,4332,12354,3,234,9,Finite Element Analysis I,Civil Engineering,,,
IEORE4703,IEOR,4703,68697,3,404,10,Monte Carlo Simulation Methods,Industrial Eng/Operations Res.,,,
IEORE4601,IEOR,4601,62497,3,166,11,Dynamic Pricing/Revenue Mgmt,Industrial Eng/Operations Res.,,,
APMAE4200,VDEO,4200,21801,3,413,27,Partial Differntial Equatns I,Applied Physics/Math,2640,,
IEORE4505,IEOR,4505,28249,3,171,54,Operation Res In Public Policy,Industrial Eng/Operations Res.,,,
ELENE6318,ELEN,6318,76041,3,79,6,Microwave Circuit Design,Electrical Engineering,,,
IEORE8100,IEOR,8100,19282,3,66,1,Comp Math of the Power,Industrial Eng/Operations Res.,,,
MECEE4314,MECE,4314,62209,3,195,25,Energy Dynamics of Green Bldgs,Mechanical Engineering,,,
SIEOW4150,,,23202,3,1081,268,Intro to Probability and St,Industrial Eng/Operations Res.,1490,,
IEORE4407,IEOR,4407,70407,3,267,88,Game Theor Models of Operation,Industrial Eng/Operations Res.,,,
IEORE4403,IEOR,4403,94266,3,531,15,Adv Engin and Corporate Eco,Industrial Eng/Operations Res.,,,
IEORE4707,VDEO,4707,89705,3,342,11,Fe: Continuous-Time-Asset,Industrial Eng/Operations Res.,5206,,
IEORE4724,IEOR,4724,78651,1,193,2,Intro to Structure/Hybrid Prod,Industrial Eng/Operations Res.,5866,,
IEORE4500,IEOR,4500,26601,3,457,20,Applications Programmng For Fe,Industrial Eng/Operations Res.,6740,,
IEORE4709,IEOR,4709,81896,3,316,8,Data Analysis For Fin Engin,Industrial Eng/Operations Res.,,,
IEORE4722,IEOR,4722,21896,1,156,4,Tpc: Algorithmic Trading,Industrial Eng/Operations Res.,,,
IEORE4725,IEOR,4725,79535,3,56,1,Electronic Mrkts Fundamen,Industrial Eng/Operations Res.,,,
IEORE4999,IEOR,4999,88598,1,282,3,Curricular Practical Training,Industrial Eng/Operations Res.,,,
STATW4249,,,96752,3,26,1,Applied Data Science,Statistics,,,
ANTHV1008,,,77198,3,135,55,The Rise of Civilization,Anthropology,1796,,
ANTHV1108,,,82195,0,137,57,The Rise of Civilization-Disc,Anthropology,,,
APMAE2101,APAM,2101,27534,3,579,348,Intro to Applied Mathematics,Applied Physics/Math,4188,,
ENMEE3105,MECE,3105,70800,4,550,267,Mechanics I,Civil Engineering,6687,,
HUMAW1121,,,28473,3,823,504,Masterpieces of Western Art,Core,137,,
MATHV1202,,,83441,3,817,499,Calculus IV,Math,1203,,
ENMEE3113,CEEM,3113,21226,3,469,200,Mechanics of Solids,Civil Engineering,,,
MECEE3018,MECE,3018,70534,3,236,97,Mechanical Engineering Lab I,Mechanical Engineering,,,
MECEE3100,MECE,3100,72545,3,306,129,Intro to Mechancis of Fluids,Mechanical Engineering,5213,,
MECEE3301,MECE,3301,10424,3,303,131,Thermodynamics,Mechanical Engineering,,,
RELIV2105,,,12564,3,15,7,Christianity,Religion,,,
MECEE3028,MECE,3028,93197,3,299,102,Mechanical Engineering Lab I,Mechanical Engineering,5963,,
MECEE3311,MECE,3311,81535,3,340,109,Heat Transfer,Mechanical Engineering,3560,,
MECEE3408,MECE,3408,12450,3,421,150,Computer Graphics and Design,Mechanical Engineering,5924,,
MECEE3610,MECE,3610,73327,3,257,108,Materials/Processes In Manufac,Mechanical Engineering,6791,,
MECEE3998,MECE,3998,16546,2,80,15,Projects In Mech Engineering,Mechanical Engineering,,,
MECEE4100,MECE,4100,27351,3,94,12,Mechanics of Fluids,Mechanical Engineering,,,
EEMEE3601,MECE,3601,70125,3,286,84,Classical Control Systems,Electrical Engineering,,,
MECEE3038,MECE,3038,70702,3,233,66,Mechanical Engineering Lab I,Mechanical Engineering,6061,,
MECEE3409,MECE,3409,25403,3,234,66,Machine Design,Mechanical Engineering,6060,,
MECEE3420,MECE,3420,65714,1,234,66,Eng Des-Concpt/Design Generatn,Mechanical Engineering,,,
MECEE3900,MECE,3900,77721,3,26,7,Honors Tutorial In Mech Engin,Mechanical Engineering,,,
COCIC1102,,,95941,4,347,210,Contemp Westrn Civilization II,Other,,,
MECEE3411,MECE,3411,88979,1,145,21,Review of Fundmntls Mece Engr,Mechanical Engineering,,,
MECEE3430,MECE,3430,88978,3,298,69,Engineering Design,Mechanical Engineering,,,
MECEE3450,MECE,3450,61536,3,33,5,Computer Aided Design,Mechanical Engineering,,,
MECEE4306,MECE,4306,89284,3,178,54,Intro to Aerodynamics,Mechanical Engineering,6789,,
APMAE4150,VDEO,4150,16853,3,53,8,Applied Function Analysis,Applied Physics/Math,,,
ELENE4810,ELEN,4810,69684,3,319,37,Digital Signal Processing,Electrical Engineering,5099,,
IEORE4602,IEOR,4602,63597,3,294,4,Quantitative Risk Management,Industrial Eng/Operations Res.,,,
BMENE4300,BMEN,4300,81198,3,89,16,Solid Biomechanics,BioMedical Engineering,5685,,
CHENE4750,CHEN,4750,19239,3,6,2,The Genome and the Cell,Chemical Engineering,,,
BMENE4502,BMEN,4502,86301,3,193,48,Tissue Engineering II,BioMedical Engineering,1061,,
COMSW4160,COMS,4160,76395,3,190,51,Computer Graphics,Computer Science,2634,,
COMSW4203,COMS,4203,29673,3,32,4,Graph Theory,Computer Science,4901,,
COMSW4167,COMS,4167,66597,3,104,14,Computer Animation,Computer Science,6676,,
IEORE4000,IEOR,4000,62839,3,135,5,Production Management,Industrial Eng/Operations Res.,5499,,
IEORE4550,IEOR,4550,91046,3,525,79,Entrepreneurial Bus Crea-Engin,Industrial Eng/Operations Res.,6059,,
APPHE4600,APAM,4600,15820,3,58,4,Fundamentals of Dosimetry,Applied Physics/Math,,,
APPHE6335,APAM,6335,12201,3,49,3,Radiation Therapy Physics,Applied Physics/Math,,,
APPHE4500,APAM,4500,72850,3,53,3,Health Physics,Applied Physics/Math,,,
CIENE4100,CEEM,4100,63400,3,242,20,Earthquake and Wind Engineering,Civil Engineering,,,
CIENE4129,CEEM,4129,66848,3,267,16,Managing Eng and Const Processes,Civil Engineering,,,
CIENE4234,CEEM,4234,13400,3,155,7,Design of Large Scale Buildings,Civil Engineering,,,
ENMEE4214,CEEM,4214,88056,3,13,2,Theory of Plates and Shells,Civil Engineering,,,
EAEEE9271,EAEE,9271,93636,0,119,1,Earth and Environmntl Eng Thesis,Earth/Environmental Engineering,,,
EAIAW4200,,,65918,3,50,4,Alternative Energy Resources,Other,,,
IEORE4004,IEOR,4004,85032,3,1225,41,Intro to Or-Determinstc,Industrial Eng/Operations Res.,5706,,
APAME6650,APAM,6650,82599,4,93,1,Research Project,Other,,,
APMAE4101,APAM,4101,11798,3,221,68,Intro Nonlinear Dynamcl Systms,Applied Physics/Math,6357,,
APPHE4018,APAM,4018,67950,2,74,20,Applied Physics Laboratory,Applied Physics/Math,,,
PHYSG4003,,,82548,3,42,4,Advanced Mechanics,Physics,6268,,
APMAE4204,VDEO,4204,23499,3,158,56,Functns of a Complex Variable,Applied Physics/Math,4049,,
