ID,Dept,Number,Call,Credits,Taken,Undergrads,Name,,
CHEMW3543,,,70287,3,170,103,Organic Chemistry Laboratory,,
COMSW3251,COMS,3251,15937,3,151,103,Computational Linear Algebra,,
ELENE3801,ELEN,3801,76618,3,236,103,Signals and Systems,,
MECEE1001,MECE,1001,14508,3,138,103,Mech Engi: Micromach/Jumbo Jets,,
MECEE3028,MECE,3028,93197,3,299,102,Mechanical Engineering Lab I,,
CHENE4230,CHEN,4230,16946,3,235,101,Reactor Kinetics/Reactor Desgn,,
ASCEV2361,,,11397,4,157,98,Intro East Asian Civ: Japan,,
MECEE3018,MECE,3018,70534,3,236,97,Mechanical Engineering Lab I,,
ECONV3025,,,8879,3,232,97,Financial Economics,,
CHENE3120,CHEN,3120,95949,3,218,97,Transport Phenomena II,,
CHENE3210,CHEN,3210,17193,3,236,96,Chem Engineerng Thermodynamics,,
ASCEV2371,,,68603,0,154,96,Intro East Asian Civ: Japan-Dis,,
CHENE3020,CHEN,3020,12391,3,188,95,Analysis of Chem Engin Problms,,
CHENE3110,CHEN,3110,65140,3,202,95,Transport Phenomena I,,
ELENE3201,ELEN,3201,71505,3,216,95,Circuit Analysis,,
COMSW4995,COMS,4995,27157,3,439,94,Business of Software Deli,,
ELENE3081,ELEN,3081,24071,1,216,94,Circuit Analysis Laboratory,,
MUSIV2020,,,72947,3,130,92,"Salsa, Soca, Regggae",,
STATW1211,,,63443,3,155,92,Introduction to Statistics,,
ELENE3082,ELEN,3082,88654,1,259,91,Digital Systems Laboratory,,
APMAE3102,APAM,3102,91098,3,185,89,Applied Mathematics II,,
IEORE4407,IEOR,4407,70407,3,267,88,Game Theor Models of Operation,,
GRAPE1115,CEEM,1115,82288,3,144,88,Engineering Graphics,,
COMSW4771,COMS,4771,26343,3,756,87,Machine Learning,,
COMSW3137,COMS,3137,82534,4,206,87,Data Structures/Algorithm,,
ELENE3331,ELEN,3331,18351,3,246,87,Electronic Circuits,,
CHEMC1407,,,28540,0,151,87,General Chemistry I - Rec,,
HUMAC1002,,,77697,4,166,86,Eurpn Lit-Philos Mastrpiecs II,,
