ID,Dept,Number,Call,Credits,Taken,Undergrads,Name,,
IEORE4500,IEOR,4500,26601,3,457,20,Applications Programmng For Fe,,
CIENE4100,CEEM,4100,63400,3,242,20,Earthquake and Wind Engineering,,
APPHE4018,APAM,4018,67950,2,74,20,Applied Physics Laboratory,,
APPHE4100,APAM,4100,69797,3,70,20,Quantum Physics of Matter,,
MECEE4602,MECE,4602,10801,3,221,20,Introduction to Robotics,,
CIENE4233,CEEM,4233,12697,3,197,20,Design of Large Scale Bridges,,
EAEEE4009,EAEE,4009,73297,3,145,20,"Gis-Res,Envir,Infrastructr Mgt",,
CSEEW4823,COMS,4823,27334,3,231,20,Advanced Logic Design,,
CHENE4510,CHEN,4510,62032,4,154,20,Process and Product Design I,,
IEORE4574,IEOR,4574,76851,3,285,20,Business Analytics For Or,,
APPHE4903,APAM,4903,15160,2,46,20,Sem-Problms In Applied Physics,,
GERMV1102,,,64290,4,35,20,Elementary German II,,
EEMEE4601,MECE,4601,19706,3,166,19,Digital Control Systems,,
COMSW4721,COMS,4721,65956,3,170,19,Machine Learning For Data Sci,,
MECEE4058,MECE,4058,88299,3,141,19,Mechatronics and Embedded M,,
CIEEE4163,CEEM,4163,70998,3,127,19,Environmental Engin: Wastewater,,
IEORE4615,IEOR,4615,17402,3,56,19,Service Engineering,,
JPNSC1101,,,29536,5,43,19,First Year Japanese I,,
AHMMV3320,,,29596,3,30,19,Music-East Asia-Southeast Asia,,
MUSIV2319,,,63446,3,28,19,Diatonic Harmony/Counterpoint,,
HISTW3661,,,1001,3,41,19,Latin American Civilization I,,
MATHV1207,,,67208,4,49,19,Honors Mathematics A,,
CHEMW3445,,,13044,0,37,19,Organic Chemistry - Rec,,
COMSW1404,COMS,1404,92101,1,56,19,Emerging Scholars Prog Seminar,,
PHYSW1493,,,11298,3,126,19,Intro to Experimental Phys-Lab,,
CSORW4246,COMS,4246,23466,3,208,18,Algorithms For Data Science,,
MSAEE3141,EAEE,3141,12896,3,40,18,Processing-Metls/Semiconductrs,,
ECONW4251,,,68576,3,51,18,Industrial Organization,,
DNCEX2252,,,2154,1,48,18,African Dance I,,
BIOCC3501,,,12203,4,32,18,Biochem I-Structure/Metabolism,,
WRITW1001,,,88100,3,22,18,Beginning Fiction Workshop,,
CHEMC2408,,,28036,1,20,18,1St Year Sem In Chemical Res,,
ELENE4944,VDEO,4944,76352,3,131,17,Prncpls of Device Microfabrctn,,
CIENE4226,CEEM,4226,13535,3,253,17,Adv Design of Steel Structures,,
EEMEE6601,MECE,6601,26851,3,279,17,Intro to Control Theory,,
MSAEE4090,APAM,4090,86304,3,144,17,Nanotechnology,,
STATW3105,,,71440,3,31,17,Introduction to Probability,,
MUSIV1592,,,98051,2,37,17,University Orchestra II,,
DNCEX1330,,,5002,1,22,17,Modern I,,
PHILC1010,,,20865,3,37,17,Methods/Prob of Philos Thought,,
SPANW1201,,,86780,4,26,17,Intermediate Spanish I,,
ASCMV2113,,,69099,0,27,17,Intro to Islamic Civ-Rec,,
CSERW1601,,,11002,3,37,17,Introduction to Latino Studies,,
CHENE4890,CHEN,4890,88011,3,43,17,Biopharmaceuticals Product Dev,,
COMSW4236,COMS,4236,73649,3,95,16,Intro-Computational Complexity,,
BMENE4300,BMEN,4300,81198,3,89,16,Solid Biomechanics,,
CIENE4129,CEEM,4129,66848,3,267,16,Managing Eng and Const Processes,,
MECEE4211,MECE,4211,26547,3,200,16,Energy Sources and Conversion,,
IEORE4733,IEOR,4733,14698,3,258,16,Algorithmic Trading,,
MSAEE4202,APAM,4202,23401,3,149,16,Thermodynamcs-Reactn In Solids,,
IEORE4560,IEOR,4560,93151,3,142,16,The Lean Launch Pad,,
MSAEE4215,APAM,4215,27999,3,158,16,Mech Behavior of Materials,,
BMENE4420,BMEN,4420,26264,3,84,16,Signal Modeling,,
KORNW1002,,,73803,2,27,16,Elementary Korean B,,
PHYSW3018,,,88456,3,23,16,Weapons of Mass Destruction,,
JPNSC1102,,,66423,5,53,16,First Year Japanese II,,
AHUMV3399,,,19081,4,29,16,Major Texts: Middle East/India,,
ASCMV2003,,,25219,4,26,16,Intro to Islamic Civilization,,
MUSIV3316,,,16005,1,21,16,Ear-Training III,,
IEORE4403,IEOR,4403,94266,3,531,15,Adv Engin and Corporate Eco,,
MECEE3998,MECE,3998,16546,2,80,15,Projects In Mech Engineering,,
COMSE6735,COMS,6735,97600,3,84,15,Visual Databases,,
ECONW4465,,,61801,3,48,15,Public Economics,,
IEORE4611,IEOR,4611,70897,3,217,15,Decision Models and Applic,,
MECEE4068,MECE,4068,87149,0,87,15,Mechatroncs-Embedded Micro Lab,,
STATW4240,,,83150,3,312,15,Data Mining,,
CHNSC1101,,,11379,5,28,15,Elementary Chinese,,
LINGW3101,,,68456,3,34,15,Introduction to Linguistics,,
ANTHV1002,,,92651,3,20,15,The Interpretation of Culture,,
MSAEE4250,VDEO,4250,26065,3,88,15,Ceramics/Ceramc Comp Mate,,
ELENE3998,ELEN,3998,72212,3,39,15,Projects In Elec Engineering,,
VIARR3701,,,95950,3,36,15,Photography: Photo I,,
PHILX1001,,,9632,3,34,15,Introduction to Philosophy,,
IEORE3900,IEOR,3900,63016,3,32,15,Undergrad Research or Project,,
SCNCW3920,,,21449,2,29,15,Ignorance,,
DNCEX1138,,,9385,1,22,15,Ballet II,,
ANTHV2027,,,68478,4,24,15,Changing East Asian Foodways,,
PSYCW2630,,,77116,3,18,15,Social Psychology,,
AHISV3201,,,18979,3,16,15,The Arts of China,,
SPANW3300,,,24374,3,23,15,Adv Language Through Cont,,
MSAEE3010,APAM,3010,85782,3,21,15,Intro to Materials Science I,,
CHEMC3045,,,20524,3,29,15,Intensve Org Chem-For 1St Year,,
COMSW4167,COMS,4167,66597,3,104,14,Computer Animation,,
APMAE4990,APAM,4990,67552,3,56,14,Data-Driven Modeling,,
CIENE4137,CEEM,4137,92903,3,162,14,Manage Civ Instrastucture Syst,,
CIENE4010,CEEM,4010,64699,3,80,14,Transportation Engineering,,
COMSW4444,COMS,4444,21815,3,86,14,Programming and Problem Solving,,
CIENE4232,CEEM,4232,11649,3,206,14,Advncd Dsgn-Concrete Structurs,,
EECSE4321,ELEN,4321,88447,3,225,14,Digital Vlsi Circuits,,
APPHE4200,VDEO,4200,64703,3,54,14,Physics of Fluids,,
MSAEE4206,APAM,4206,20108,3,141,14,Elec and Magnetic Prop of Solids,,
BMENE4894,BMEN,4894,67571,3,68,14,Biomedical Imaging,,
FRENW1201,,,23830,4,30,14,Intermediate French I,,
CHNSC1102,,,26442,5,31,14,Elementary Chinese,,
MSAEE3142,APAM,3142,87538,3,39,14,Processing-Ceramics and Polymers,,
ANTHV1133,,,10957,0,17,14,Africa and the Anthrop-Disc,,
CHNSC1111,,,74581,5,20,14,Elementary Chinese W,,
SPANW1202,,,16824,4,21,14,Intermediate Spanish II,,
MSAEE1001,APAM,1001,91898,3,18,14,Atomic-Scale Eng-New Materials,,
BMENE2400,BMEN,2400,82792,0,23,14,Biosignal and Biomed Imag Track,,
BIOCC3511,,,24783,0,14,14,Biochem I-Struct/Metabolsm-Rec,,
AFASC1001,,,86596,3,21,14,Intro to African-Amer Studies,,
AFASC1010,,,91751,0,21,14,Intro-Afr-Amer Studies - Disc,,
IEORE4520,IEOR,4520,67001,3,132,13,Applied Systems Engineering,,
SOCIW3675,,,64043,4,42,13,Organizing Innovation,,
COMSW4460,COMS,4460,81550,3,115,13,Prin-Innovatn/Entrepreneurship,,
BMENE4000,BMEN,4000,66648,3,44,13,Spc Topics In Biomedical Engin,,
EAEEE4190,EAEE,4190,11361,3,110,13,Photovoltaic Systems Engin,,
ELENE4511,ELEN,4511,25784,3,97,13,Power Systems Analysis,,
MECEE9900,MECE,9900,63054,0,13,13,Doctoral Dissertation,,
EESCV2100,,,81247,4,16,13,Earth'S Enviro Syst: Clim Syst,,
HISTW3666,,,10902,0,16,13,Latin Amer Civilization I-Disc,,
AHMMV3321,,,20940,3,17,13,Musics of India and West Asia,,
AHISC3001,,,69344,3,16,13,Intro to Architecture,,
GERMV1201,,,62231,4,16,13,Intermediate German I,,
ENGLC1014,,,60908,3,25,13,University Writing: Hum Rights,,
CHEMW3448,,,70113,0,19,13,Organic Chemistry - Rec,,
ECBME4060,ELEN,4060,10740,3,94,12,Intro Genomic Info Sci and ,,
ELENE6770,ELEN,6770,61912,3,217,12,Topic: Next Gen Networks,,
MECEE4100,MECE,4100,27351,3,94,12,Mechanics of Fluids,,
CIENE4021,VDEO,4021,69292,3,119,12,Elas/Plas Analysis-Structures,,
CIENE4111,CEEM,4111,20464,3,211,12,Uncertain/Risk-Civil Inf Syst,,
MECEE4302,MECE,4302,29531,3,117,12,Advanced Thermodynamics,,
ELENE4830,ELEN,4830,77901,3,159,12,Digital Image Processing,,
CHENE4620,CHEN,4620,61863,3,140,12,Intro-Polymers/Soft Materials,,
MECEE4610,MECE,4610,72216,3,124,12,Adv Manufacturing Processes,,
RSRHE0001,ENGI,1,78540,0,21,12,Full Time Engineering Research,,
BMENE4430,BMEN,4430,20794,3,34,12,Prin of Mag Resonance Imaging,,
EAEEE3900,EAEE,3900,22448,3,32,12,Undergrad Res-Environmtl Engin,,
MECEE3901,MECE,3901,62285,3,38,12,Honors Tutorial In Mech Engin,,
CHENE4201,CHEN,4201,88955,3,184,12,Engin Appl of Electrochemistry,,
MUSIX3139,,,5250,3,16,12,Introduction Vocal Repertoire,,
AHUMV3340,,,25321,3,26,12,"Art In China, Japan, And",,
APMAE3900,APAM,3900,67701,3,33,12,Undergrad Res In Applied Math,,
MUSIW1514,,,63075,1,20,12,Introduction to Piano II,,
IEORE4418,IEOR,4418,12297,3,44,12,Logistics and Transportatio,,
MUSIV1591,,,68428,2,18,12,University Orchestra I,,
PHILV3411,,,72132,4,19,12,Symbolic Logic,,
PHILV3413,,,23251,0,20,12,Symbolic Logic - Rec,,
STATW1111,,,14893,3,21,12,Introduction to Statistics,,
BMENE4310,BMEN,4310,12847,3,25,12,Solid Biomechanics,,
HISTW3618,,,65140,3,26,12,The Modern Caribbean,,
RELIV3411,,,26033,3,16,12,Tantra In Asia and the We,,
IEORE4007,VDEO,4007,17900,3,382,11,Optimization Models and Met,,
IEORE4601,IEOR,4601,62497,3,166,11,Dynamic Pricing/Revenue Mgmt,,
IEORE4707,VDEO,4707,89705,3,342,11,Fe: Continuous-Time-Asset,,
APMAE4301,APAM,4301,13901,3,64,11,Numerical Methods/Pde'S,,
CIENE4130,CEEM,4130,25030,3,137,11,Design of Construction Systems,,
EAEEE4001,EAEE,4001,71992,3,123,11,Indust Ecology-Earth Resources,,
MECEE6400,MECE,6400,72847,3,109,11,Advanced Machine Dynamics,,
ECIAW4100,,,15984,3,106,11,Mgmt and Develop of Water S,,
MECEE4431,VDEO,4431,67225,3,41,11,Space Vehicle Dynamics/Control,,
CHENE4320,CHEN,4320,25847,3,108,11,Molecular Phenomena-Chem Engi,,
JPNSW1002,,,73932,2,20,11,Elementary Japanese B,,
MSAEE3156,APAM,3156,73451,3,39,11,Design Project,,
ELENE4314,ELEN,4314,73049,3,99,11,Communication Circuits,,
DNCEX1136,,,2732,1,22,11,Ballet I,,
ECONW4325,,,61322,3,20,11,Economic Development of Japan,,
ELENE4703,ELEN,4703,76048,3,83,11,Wireless Communications,,
CHENE4610,CHEN,4610,25550,3,132,11,Chemical Product Design,,
PUBHW3100,,,21207,3,14,11,Fundamentals of Global Health,,
MATHV3050,,,20951,3,30,11,Discrete Time Models In Financ,,
MUSIV3129,,,29572,3,13,11,Hist-West Mus: Classicl-20Th C,,
CHEMC3448,,,73905,0,15,11,Organic Chemistry - Rec,,
IEORE4575,IEOR,4575,75509,3,119,11,Prob Models For Mangement,,
CSERW3922,,,70041,4,13,11,Asian American Cinema,,
MUSIW1513,,,10778,1,21,11,Introduction to Piano I,,
KORNW1102,,,76747,5,17,11,Elementary Korean N,,
CHENE4501,CHEN,4501,14033,3,66,11,Process Safety,,
ANTHV2035,,,73460,3,14,11,Intro to the Anthrop of S Asia,,
MUSIV2016,,,72766,3,14,11,Jazz,,
PSYCW2235,,,77668,3,18,11,Thinking and Decision Making,,
EESCV1011,,,74217,4,11,11,"Earth: Orig,Evol,Proc,Future",,
ENGLC1011,,,96147,3,26,11,University Writing: Amer Study,,
CHEMW3447,,,83780,0,16,11,Organic Chemistry - Rec,,
STATW4701,,,63823,3,149,10,Exploratory Data Analysis/Visual,,
IEORE4703,IEOR,4703,68697,3,404,10,Monte Carlo Simulation Methods,,
ELENE4896,ELEN,4896,82051,3,59,10,Music Signal Processing,,
STATW4700,,,70711,3,76,10,Probability and Statistics,,
IEORE4706,VDEO,4706,27300,3,204,10,Financial Engineering I,,
MECEE9001,MECE,9001,20957,3,106,10,Graduate Research and Study I,,
BMCHE4810,BMEN,4810,62200,3,37,10,Artifical Organs,,
CIENE4022,CEEM,4022,60800,3,99,10,Bridge Design and Management,,
COMSE6118,COMS,6118,92600,3,29,10,"Operating Systems, II",,
CIENE9101,CEEM,9101,76299,1,242,10,Civil Engineering Research,,
STATW4606,,,60897,3,32,10,Elementry Stochastic Processes,,
CIENE4241,CEEM,4241,72851,3,90,10,Geotechncl Engneerng Fundmntls,,
MECEE9000,MECE,9000,65036,3,107,10,Graduate Research and Study I,,
MSAEE3157,APAM,3157,18549,3,17,10,Design Project,,
EESCW4008,,,68791,3,21,10,Intro to Atmospheric Science,,
COMSW4241,COMS,4241,17499,3,42,10,Numericl Algorithms-Complexity,,
PSYCW2620,,,29780,3,19,10,Abnormal Behavior,,
COMSE0001,COMS,1,79783,0,32,10,Found of Comput Sci-Track,,
COMSE0005,COMS,5,84541,0,16,10,Vision and Graphics-Track,,
MUSIV2205,,,26413,3,14,10,Midi Music Productn Techniques,,
IEORE4211,IEOR,4211,13017,3,60,10,Applied Consulting,,
AHUMV3342,,,81281,3,19,10,Masterpieces-Indian Art and Arch,,
SPANW3350,,,76339,3,21,10,Hispanic Cultures II (Sp),,
CHNSC1112,,,83696,5,18,10,Elementary Chinese W,,
CHENE4020,CHEN,4020,12125,3,37,10,Safguardng Intlctl-Bus Proprty,,
DNCEX2137,,,1283,1,16,10,Ballet III,,
MECEE1008,MECE,1008,97949,1,27,10,Intro to Machining,,
FILMX3245,,,7110,3,13,10,American Television Drama,,
CIENE9900,CEEM,9900,11952,0,11,9,Doctoral Dissertation,,
ENMEE4332,CEEM,4332,12354,3,234,9,Finite Element Analysis I,,
CIENE4210,CEEM,4210,10215,3,87,9,Forensic Structurl Engineering,,
COMSE6731,COMS,6731,72946,3,24,9,Humanoid Robots,,
ELENE6312,ELEN,6312,91853,3,159,9,Adv Analog Inegrated Circuits,,
IEORE4721,IEOR,4721,18702,3,215,9,Comput Mthds/Derivates Pr,,
MECEE4608,MECE,4608,11402,3,97,9,Manufacturing Processes,,
CIENE4213,CEEM,4213,69052,3,132,9,Buckling of Structures,,
COMSE6232,COMS,6232,12050,3,44,9,Analysis of Algorithms II,,
IEORE4900,IEOR,4900,96497,3,65,9,Masters Research or Project,,
MATHW4062,,,28004,3,23,9,Intro-Modern Analysis II,,
MSAEE3104,APAM,3104,92647,3,25,9,Lab In Materials Science,,
FRENW1202,,,62641,4,20,9,Intermediate French II,,
ARCHV3117,,,9471,3,18,9,Perceptions of Architecture,,
MECEE4312,MECE,4312,21754,3,96,9,Solar Thermal Engineering,,
CSEEE6868,COMS,6868,93500,3,94,9,System-On-Chip Platforms,,
ECONW4505,,,80941,3,28,9,Int'L Monetary Theory and P,,
CSORE4995,COMS,4995,63453,3,29,9,Financial Software System,,
PSYCW1010,,,67192,3,21,9,"Mind, Brain and Behavior",,
POLSW4871,,,10531,4,14,9,Chinese Foreign Policy,,
A&HMY4352,,,33860,2,15,9,Voice Instruction: Non-Majors,,
ARCHV3312,,,7408,3,14,9,Delineating 21St C Skyscr,,
PSYCW2640,,,72930,3,21,9,Intro to Soc Cognition,,
MSAEE4100,APAM,4100,86947,3,104,9,Crystallography,,
AHISX1002,,,1823,4,14,9,Introduction to Art History I,,
EESCW4001,,,12635,4,22,9,Advanced General Geology,,
DNCEX1135,,,5885,0,15,9,Ballet I,,
MECEE4210,MECE,4210,17046,3,60,9,Energy Infrastructure Planning,,
SOCIW3490,,,11467,3,9,9,"Mistake, Misconduct, Disaster",,
BIOLW3500,,,62040,3,10,9,Individual Topics,,
CHEMW3545,,,12831,3,13,9,Intensive Organic Chem Lab,,
HISTW3902,,,16618,3,10,9,History of the World to 1,,
FILMX3246,,,3482,0,11,9,American Television Drama,,
SLCLW3001,,,68364,3,10,9,Slavic Cultures,,
CHEMW3449,,,96546,0,16,9,Organic Chemistry - Rec,,
COMSE6185,COMS,6185,20484,3,44,8,Intro-Intrusion Detection,,
COMSE6156,COMS,6156,63009,3,46,8,Topics In Software Engineering,,
APPHE4301,APAM,4301,71999,3,29,8,Intro to Plasma Physics,,
IEORE4709,IEOR,4709,81896,3,316,8,Data Analysis For Fin Engin,,
APMAE4150,VDEO,4150,16853,3,53,8,Applied Function Analysis,,
APPHE4010,APAM,4010,67148,3,72,8,Introductn to Nuclear Science,,
CHAPE4120,CHEN,4120,18436,3,121,8,Statistical Mechanics,,
STATW4640,,,13709,3,27,8,Bayesian Statistics,,
BMENE9700,BMEN,9700,98349,0,309,8,Biomedical Engineering Seminar,,
BMEBW4020,,,19285,3,74,8,Comp Neuro: Circuits In Brain,,
APMAE6301,APAM,6301,21099,3,41,8,Analytic Methods For Pde'S,,
COMSW4121,COMS,4121,19353,3,94,8,Computer Systems For Data Science,,
POLSV1601,,,17746,3,17,8,International Politics,,
BMENE4410,BMEN,4410,16828,3,41,8,Prin of Ultrasound In Medicine,,
BMENE4898,BMEN,4898,12205,3,36,8,Biophotonics,,
ELENE4488,ELEN,4488,67116,3,59,8,Optical Systems,,
STATW4315,,,80997,3,71,8,Linear Regression Models,,
BIOLW3310,,,84030,3,24,8,Virology,,
ANTHV3300,,,3721,3,12,8,Precolumbian Histories,,
POLSW1201,,,338,4,19,8,Intro to American Politics,,
POLSW1211,,,5935,0,19,8,Intro-American Politics-Disc,,
DNCEX2138,,,1680,1,16,8,Ballet III,,
PHYSW3003,,,20478,3,13,8,Mechanics,,
ELENE4193,ELEN,4193,17917,3,78,8,Mod Display Sci and Technology,,
SPANW1120,,,29846,4,12,8,Comprehensive Beginning Span,,
VIARR1001,,,28446,3,18,8,Basic Drawing,,
ECONW4625,,,92799,3,40,8,Economics of the Environment,,
DNCEX2452,,,8615,0,11,8,Pilates For Dancers,,
RELIV2215,,,3284,0,9,8,Hinduism - Discussion,,
HISTW3535,,,61636,3,10,8,Hist of the City of New York,,
ELENE6767,ELEN,6767,28286,3,125,7,"Internet Econ, Eng and Society",,
RELIV2105,,,12564,3,15,7,Christianity,,
MECEE3900,MECE,3900,77721,3,26,7,Honors Tutorial In Mech Engin,,
CIENE4234,CEEM,4234,13400,3,155,7,Design of Large Scale Buildings,,
APPHE4550,APAM,4550,76199,0,59,7,Medical Physics Seminar,,
ELENE6001,VDEO,6001,79537,3,146,7,Advanced Projects,,
EAEEE4150,EAEE,4150,11646,3,60,7,Air Pollution Prevention/Contr,,
IEORE4579,IEOR,4579,78650,0,569,7,Prof Developmnt For Msor/Msie,,
CHENE4800,CHEN,4800,12743,3,88,7,Protein Engineering,,
CHENE4780,CHEN,4780,92102,3,38,7,Quant Methods In Cell Biology,,
EECSE6892,ELEN,6892,98250,3,107,7,Bayes Models Mach Learn,,
MECEE6313,MECE,6313,10703,3,86,7,Advanced Heat Transfer,,
EAEEE4550,EAEE,4550,28097,3,176,7,Catalysis of Emissions Control,,
ELENE4702,ELEN,4702,28789,3,120,7,Digital Communications,,
ELENE4411,ELEN,4411,14574,3,95,7,Fundamentals of Photonics,,
MATHW4042,,,19574,3,19,7,Intro to Mod Algebra II,,
ELENE4301,ELEN,4301,67403,3,80,7,Intro-Semiconductor Devices,,
FRENW1222,,,14616,2,11,7,Intermed Conversatn French I,,
HSEAW3898,,,69256,3,12,7,The Mongols In History,,
ECONW4321,,,16597,3,39,7,Economic Development,,
CHENE9000,CHEN,9000,24695,0,137,7,Chemicl Engineering Colloquium,,
BIOTW4200,,,19231,3,27,7,Biopharmaceutical Dev and Reg,,
EESCV2200,,,22011,4,16,7,Earth'S Env System: Solid Earth,,
HISTW1020,,,82848,3,17,7,Romans/Empire 754 Bc to 565 Ad,,
AHISW3650,,,97546,3,19,7,Twentieth Century Art,,
AHISW3655,,,78150,0,19,7,Twentieth Century Art-Disc,,
CHNSW1011,,,28406,2,11,7,Introductory Chinese II,,
MECEE3401,MECE,3401,12621,3,51,7,Mechanics of Machines,,
URBSV2200,,,3078,3,11,7,Introduction to Gis Methods,,
ARCHV3103,,,6306,4,11,7,Arch Representation: Perception,,
APPHE1300,APAM,1300,22205,3,10,7,Physics of the Human Body,,
CIENE3000,CEEM,3000,60957,3,46,7,The Art of Structural Design,,
ENGLW4404,,,63779,3,9,7,Victorian Poetry,,
EACEE4560,EAEE,4560,76203,3,26,7,Particle Technology,,
MUSIV3321,,,63229,3,9,7,Chromatic Harmony/Counter,,
ENGLW3400,,,15120,3,8,7,African-American Literature,,
AHISV3248,,,77224,3,9,7,Greek Art and Architecture,,
DNCEX1137,,,7379,1,8,7,Ballet II,,
FILMW3000,,,29566,3,10,7,Intro to Film and Media Studies,,
FILMW3002,,,98246,0,10,7,Intro-Film and Media Studies-Dis,,
DNCEX3138,,,2707,0,10,7,Ballet V,,
CHORE4690,CHEN,4690,85030,3,28,7,Manage Syst Resk-Complex Syst,,
BIOLC2015,,,96447,0,64,7,"Intro Bio I: Biochem,Gen,Molec",,
PHYSC2001,,,87851,3,10,7,Special Relativity,,
ASTRW4260,,,23412,3,8,7,Modeling the Universe,,
EECSE6895,ELEN,6895,86648,3,121,6,Topic Adv Big Data Analy,,
IEORE4701,VDEO,4701,13499,3,193,6,Stochastic Models For Fin Eng,,
ELENE6318,ELEN,6318,76041,3,79,6,Microwave Circuit Design,,
CSEEE6180,COMS,6180,88983,3,102,6,Modeling and Performnce Evaluatn,,
STATW4702,,,72965,3,83,6,Stat Inference and Modeling,,
BMENE9900,BMEN,9900,28548,0,6,6,Doctoral Dissertation,,
CIENE4132,CEEM,4132,72951,3,175,6,Prev and Resol of Constr Disputes,,
COMSE6184,COMS,6184,24015,3,12,6,Anonymity and Privacy,,
COMSE6732,COMS,6732,68757,3,26,6,Computational Imaging,,
EAEEE6212,EAEE,6212,81533,3,141,6,Carbon Sequestration,,
CHENE4330,CHEN,4330,27097,3,260,6,Advanced Chemical Kinetics,,
ELENE6350,ELEN,6350,83248,3,44,6,Vlsi Design Laboratory,,
IEORE6613,IEOR,6613,14638,4,65,6,Optimization I,,
CHENE9400,CHEN,9400,81780,3,209,6,Masters Research,,
IEORE4718,IEOR,4718,86449,3,198,6,Intro-Implied Volatilty,,
CIENE4134,CEEM,4134,76101,3,69,6,Construction Industry Law,,
CIENE4135,CEEM,4135,13026,3,130,6,Strategic Mgt-Design and Constr,,
MSAEE4101,APAM,4101,22832,3,85,6,Structrl Analysis of Materials,,
CHENE4130,CHEN,4130,80901,3,186,6,Adv Chem Engi Thermodynamics,,
APMAE4400,APAM,4400,12410,3,14,6,Intro to Biophysical Modeling,,
EECSE4340,COMS,4340,23384,3,58,6,Computer Hardware Design,,
MUSIV2206,,,98248,3,12,6,Midi Music Productn Techniques,,
STATW4109,,,20181,6,19,6,Probability and Stat Inference,,
ECONW4615,,,21141,3,12,6,Law and Economics,,
STATW3026,,,77702,3,16,6,Applied Data Mining,,
BIOLW3006,,,87446,3,17,6,General Physiology,,
MUSIV1599,,,12404,1,28,6,Chamber Ensemble-Voice,,
MUSIX1502,,,4991,2,8,6,Voice Instruction,,
PHILV3611,,,64046,0,14,6,Metaphysics-Rec,,
PHILV3601,,,73746,4,15,6,Metaphysics,,
ECONW4438,,,79779,3,8,6,Economics of Race In the U.S.,,
ARCHV3114,,,3527,3,12,6,Making the Metropolis,,
MDESW1210,,,10533,5,18,6,First Year Arabic I,,
DNCEX3249,,,7786,1,7,6,Jazz Dance III,,
URBSV3565,,,5717,3,11,6,Cities In Developing Countries,,
CHENE4700,CHEN,4700,66259,3,45,6,Principles of Genomic Technol,,
COMSE6261,COMS,6261,66805,3,22,6,Advanced Cryptography,,
POLSV1611,,,8340,0,9,6,International Politics-Disc,,
ANTHV2139,,,17681,3,10,6,"Magic, Witchcraft and Modernity",,
DNCEX2140,,,3613,1,11,6,Ballet IV,,
ANTHV3821,,,88398,4,8,6,Native America,,
HISTX1302,,,2084,3,10,6,European History Since 1789,,
SPANW3349,,,91752,3,12,6,Hispanic Cultures I (Sp),,
LACVC1020,,,91250,4,10,6,Prim Texts of Latin Amer Civ,,
MUSIV1598,,,60791,1,21,6,Chamber Ensemble - Classi,,
MUSIV3317,,,16666,1,8,6,Ear-Training IV,,
MDESW1608,,,77491,5,10,6,Hindi For Heritage Speakers I,,
PHILV3701,,,70274,4,10,6,Ethics,,
PHILV3711,,,19994,0,10,6,Ethics - Rec,,
URBSV3464,,,8799,3,8,6,Ecologies/Infrastructure,,
ELENE4998,ELEN,4998,66148,3,30,6,Intermediate Projects,,
DNCEX3141,,,883,1,7,6,Ballet Vi,,
RELIV3410,,,27024,3,8,6,Daoism,,
ANTHV1012,,,20992,0,9,6,Interpretation of Cultre-Disc,,
MDESW1609,,,29693,5,8,6,Hindi For Heritage Speakers I,,
ARCHV3121,,,4645,3,7,6,Urban Praxis: Soc Theory Arch,,
BIOLW3995,,,16967,2,9,6,Crossroads In Bioethics,,
POLSW3285,,,22595,3,7,6,Freedom of Speech and Press,,
MUSIV2430,,,26221,3,6,6,Listen/Sound-Cross-Cultl Persp,,
BIOLX1502,,,4239,3,10,6,Intro Cell and Molecular Biol,,
CIENE3302,CEEM,3302,24374,3,8,6,Ind Studies-Civil Engin-Soph,,
ENGLW4650,,,67925,3,12,6,Immigration,Relocation,Diaspor
AHUMV3345,,,73302,0,7,6,Masterpces-Indian Art/Arch-Dis,,
EEEBW2001,,,17402,3,7,6,Environmental Biology I,,
PORTW1101,,,23147,4,18,5,Elementary Portuguese I,,
CHENE4400,CHEN,4400,13347,3,86,5,Chemical Process Development,,
ENMEE4202,CEEM,4202,21302,3,44,5,Advanced Mechanics,,
MECEE3450,MECE,3450,61536,3,33,5,Computer Aided Design,,
IEORE4000,IEOR,4000,62839,3,135,5,Production Management,,
IEORE4408,IEOR,4408,83048,3,39,5,Resource Allocation,,
ENMEE4215,CEEM,4215,26970,3,151,5,Theory of Vibrations,,
ELENE6950,ELEN,6950,22595,4,107,5,Wireless and Mobile Netwrki,,
MATHV2000,,,26397,3,8,5,Intro to Higher Mathemati,,
MECEE4501,MECE,4501,69278,3,62,5,Geometrical Modeling,,
CSEEE6861,COMS,6861,91797,3,73,5,Cad of Digital Systems,,
CHENE4110,VDEO,4110,67651,3,274,5,Transport Phenomena III,,
BMENE9100,BMEN,9100,20965,3,185,5,Masters Research,,
STATG6509,,,11845,3,25,5,Foundations of Graphicl Models,,
CIENE4235,CEEM,4235,92804,3,37,5,Multi-Hazard Design of Structures,,
EAEEE4257,EAEE,4257,22798,3,94,5,Envir Data Analysis and Modeling,,
BMENE4150,BMEN,4150,87799,3,10,5,The Cell As a Machine,,
MEEME6432,MECE,6432,60909,3,22,5,Small-Scale Mech Behavior,,
ELENE6316,ELEN,6316,97050,3,110,5,Analog Systems In Vlsi,,
APPHE4110,APAM,4110,92752,3,30,5,Modern Optics,,
COMSW4737,COMS,4737,64945,3,48,5,Biometrics,,
EAEEE4950,EAEE,4950,19893,3,39,5,Enivron Biochemical Processes,,
COMSE6915,COMS,6915,92099,1,44,5,Academic Writing,,
STATW4290,,,76446,3,35,5,Statistical Methods In Finance,,
